ID,Type (is-a),LABEL,OBSOLETE,REPLACED BY
ID,C %,LABEL,AT owl:deprecated^^xsd:boolean,AI IAO:0100001
HANCESTRO:0003,owl:Thing,obsolete country,TRUE,NCIT:C25464
HANCESTRO:0029,owl:Thing,obsolete Africa,TRUE,dbpedia:Africa
HANCESTRO:0030,owl:Thing,obsolete Asia,TRUE,dbpedia:Asia
HANCESTRO:0048,owl:Thing,obsolete Caribbean,TRUE,dbpedia:Caribbean
HANCESTRO:0031,owl:Thing,obsolete Europe,TRUE,dbpedia:Europe
HANCESTRO:0052,owl:Thing,obsolete Melanesia,TRUE,dbpedia:Melanesia
HANCESTRO:0053,owl:Thing,obsolete Micronesia,TRUE,dbpedia:Micronesia
HANCESTRO:0032,owl:Thing,obsolete Micronesia,TRUE,dbpedia:Oceania
HANCESTRO:0054,owl:Thing,obsolete Polynesia,TRUE,dbpedia:Polynesia
HANCESTRO:0288,owl:Thing,obsolete Scandinavia,TRUE,dbpedia:Scandinavia
HANCESTRO:0049,owl:Thing,obsolete South America,TRUE,dbpedia:SouthAmerica
HANCESTRO:0035,owl:Thing,obsolete Eastern Africa,TRUE,dbpedia:Eastern_Africa
HANCESTRO:0036,owl:Thing,obsolete Middle Africa,TRUE,dbpedia:Middle_Africa
HANCESTRO:0037,owl:Thing,obsolete Northern Africa,TRUE,dbpedia:Northern_Africa
HANCESTRO:0038,owl:Thing,obsolete Southern Africa,TRUE,dbpedia:Southern_Africa
HANCESTRO:0039,owl:Thing,obsolete Western Africa,TRUE,dbpedia:Western_Africa
HANCESTRO:0043,owl:Thing,obsolete Western Asia,TRUE,dbpedia:Western_Asia
HANCESTRO:0044,owl:Thing,obsolete Eastern Europe,TRUE,dbpedia:Eastern_Europe
HANCESTRO:0045,owl:Thing,obsolete Northern Europe,TRUE,dbpedia:Northern_Europe
HANCESTRO:0046,owl:Thing,obsolete Southern Europe,TRUE,dbpedia:Southern_Europe
HANCESTRO:0047,owl:Thing,obsolete Western Europe,TRUE,dbpedia:Western_Europe
HANCESTRO:0050,owl:Thing,obsolete Central America,TRUE,dbpedia:Central_America
HANCESTRO:0055,owl:Thing,obsolete Eastern Asia,TRUE,dbpedia:Eastern_Asia
HANCESTRO:0289,owl:Thing,obsolete South Asia,TRUE,dbpedia:South_Asia
HANCESTRO:0033,owl:Thing,obsolete Latin America and the Caribbean,TRUE,dbpedia:Latin_America_and_the_Caribbean
HANCESTRO:0034,owl:Thing,obsolete Northern America,TRUE,dbpedia:Northern_America
HANCESTRO:0041,owl:Thing,obsolete South Central Asia,TRUE,dbpedia:South-central_Asia
HANCESTRO:0042,owl:Thing,obsolete South Eastern Asia,TRUE,dbpedia:South-Eastern_Asia
HANCESTRO:0591,owl:Thing,obsolete Esan,TRUE,AfPO:0000420
HANCESTRO:0592,owl:Thing,obsolete Luhya,TRUE,AfPO:0000405
HANCESTRO:0593,owl:Thing,obsolete Maasai,TRUE,AfPO:0000056
HANCESTRO:0594,owl:Thing,obsolete Mende,TRUE,AfPO:0000432
HANCESTRO:0527,owl:Thing,obsolete Central African,TRUE,AfPO:0000274
HANCESTRO:0509,owl:Thing,obsolete Malagasy,TRUE,AfPO:0000370
HANCESTRO:0516,owl:Thing,obsolete Seychellois,TRUE,AfPO:0000180
HANCESTRO:0518,owl:Thing,obsolete Somali,TRUE,AfPO:0000389
HANCESTRO:0546,owl:Thing,obsolete Swazi,TRUE,AfPO:0000351
HANCESTRO:0332,owl:Thing,obsolete Sahrawi,TRUE,AfPO:0000220
HANCESTRO:0436,owl:Thing,obsolete Egyptian,TRUE,AfPO:0000365